Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
30519;-1.662777777777778;48.11527777777778;"48°6'55.000""N 1°39'46.000""W";35238;"";R DE LA PALESTINE;35700;RENNES;Immeuble;29.0;"Copropriété, Syndic, SCI"
93538;-1.6011111111111112;48.121944444444445;"48°7'19.000""N 1°36'4.000""W";35051;"";52 R DE BELLE EPINE;35510;CESSON SEVIGNE;Immeuble;24.0;Société HLM
132400;-1.6658333333333335;48.09972222222222;"48°5'59.000""N 1°39'57.000""W";35238;"";"45, R DE RIAVAL";35700;RENNES;Immeuble;17.0;"Copropriété, Syndic, SCI"
191770;-1.6930555555555555;48.12027777777778;"48°7'13.000""N 1°41'35.000""W";35238;"";2 R HENRY LE GUILLOUX;35700;RENNES;Bâtiment;12.0;Etablissement de soins
223039;-1.673888888888889;48.089444444444446;"48°5'22.000""N 1°40'26.000""W";35238;"";121 BD  ALBERT 1ER;35700;RENNES;Immeuble;21.0;ORANGE Services Fixes
246908;-1.6533333333333333;48.1175;"48°7'3.000""N 1°39'12.000""W";35238;"";17 R LAVOISIER;35700;RENNES;Immeuble;17.0;Particulier
264178;-1.666111111111111;48.11527777777778;"48°6'55.000""N 1°39'58.000""W";35238;"";29 R DE LA PALESTINE;35700;RENNES;Immeuble;21.7;Société Privée SA
274864;-1.6961111111111111;48.1175;"48°7'3.000""N 1°41'46.000""W";35238;"";2 AV DU PR LÉON BERNARD CAMPUS DE VILLEJEAN;35700;RENNES;Immeuble;24.5;"Etat, Ministère"
328065;-1.5911111111111111;48.1125;"48°6'45.000""N 1°35'28.000""W";35051;"";RTE DE DOMLOUP CCAL CARREFOUR;35510;CESSON SEVIGNE;Bâtiment;17.0;Société Privée SA
334235;-1.6883333333333332;48.118611111111115;"48°7'7.000""N 1°41'18.000""W";35238;"";"24 AV DU 41ÈME RÉGIMENT D'INFANTERIE";35700;RENNES;Immeuble;27.8;"Syndicat des eaux, Adduction"
347067;-1.636388888888889;48.1025;"48°6'9.000""N 1°38'11.000""W";35238;"";R CAMILLE ST SAËNS LIGNE SNCF RENNES CHATEAUBRIAND;35700;RENNES;Pylône autostable;25.0;HIVORY
347629;-1.680277777777778;48.109722222222224;"48°6'35.000""N 1°40'49.000""W";35238;"";1 QUAI LAMENNAIS RESTAURANT QUICK;35700;RENNES;Immeuble;24.0;Société Privée SA
351742;-1.696388888888889;48.118611111111115;"48°7'7.000""N 1°41'47.000""W";35238;"";2 AV DU PR LÉON BERNARD BAT 22 - 23 CAMPUS DE VILLEJEAN;35700;RENNES;Immeuble;26.0;"Etat, Ministère"
356427;-1.6144444444444446;48.111111111111114;"48°6'40.000""N 1°36'52.000""W";35051;"";35 AV DES PEUPLIERS;35510;CESSON SEVIGNE;Bâtiment;10.0;Société Privée SA
370774;-1.6172222222222223;48.09916666666667;"48°5'57.000""N 1°37'2.000""W";35055;"";1 FORUM DE LA ROCADE;35135;CHANTEPIE;Bâtiment;7.0;Towercast
415392;-1.6644444444444444;48.12583333333333;"48°7'33.000""N 1°39'52.000""W";35238;"";3 BD EMMANUEL MOUNIER;35700;RENNES;Bâtiment;45.0;Particulier
439625;-1.7047222222222222;48.10388888888889;"48°6'14.000""N 1°42'17.000""W";35238;"";10 R DE GUEBRIANT;35000;RENNES;Immeuble;20.0;"Copropriété, Syndic, SCI"
442555;-1.6175;48.08833333333333;"48°5'18.000""N 1°37'3.000""W";35055;"";"PL DE L'EGLISE";35135;CHANTEPIE;Monument religieux;30.0;"Commune, communauté de commune"
443983;-1.778888888888889;48.10194444444444;"48°6'7.000""N 1°46'44.000""W";35240;LA ROMILLAIS;"";35650;RHEU;Pylône tubulaire;43.0;SFR
444333;-1.6272222222222221;48.124722222222225;"48°7'29.000""N 1°37'38.000""W";35051;BEL AIR;2 R DU CLOS COURTEL BUTTES DE COESMES;35510;CESSON SEVIGNE;Tour hertzienne;124.0;TDF
456371;-1.712222222222222;48.121944444444445;"48°7'19.000""N 1°42'44.000""W";35238;"";23 R DU NIVERNAIS IMM LE CORBIGNY;35000;RENNES;Immeuble;57.0;Société Privée SA
471459;-1.5775000000000001;48.11666666666667;"48°7'0.000""N 1°34'39.000""W";35051;PORTE DE LA RIGOURDIÈRE;LE CROISIC N157;35510;CESSON SEVIGNE;Pylône autostable;30.0;TOTEM
472675;-1.6755555555555555;48.09861111111111;"48°5'55.000""N 1°40'32.000""W";35238;"";"92 R DE L'ALMA";35000;RENNES;Bâtiment;20.3;"Copropriété, Syndic, SCI"
474149;-1.632222222222222;48.09638888888889;"48°5'47.000""N 1°37'56.000""W";35238;"";42 R DES VEYETTES ZI SUD EST;35000;RENNES;Pylône tubulaire;48.0;BOUYGUES
476649;-1.6636111111111112;48.103611111111114;"48°6'13.000""N 1°39'49.000""W";35238;"";1-2 R PIERRE MARTIN;35000;RENNES;Immeuble;41.0;Société HLM
478352;-1.5972222222222223;48.128055555555555;"48°7'41.000""N 1°35'50.000""W";35051;LE PLACIS VERT;R DE LA CHALOTAIS;35510;CESSON SEVIGNE;Pylône tubulaire;20.0;TOTEM
486841;-1.5875;48.11194444444445;"48°6'43.000""N 1°35'15.000""W";35051;"";ZA LA RIGOURDIÈRE - N.136 CCAL CARREFOUR;35510;CESSON SEVIGNE;Pylône tubulaire;28.2;TOTEM
494121;-1.6724999999999999;48.108333333333334;"48°6'30.000""N 1°40'21.000""W";35238;"";9 AV JANVIER;35000;RENNES;Tour hertzienne;65.0;TDF
497808;-1.6830555555555555;48.1125;"48°6'45.000""N 1°40'59.000""W";35238;"";1 PL DE LA TRINITE;35000;RENNES;Immeuble;24.0;Société Privée SA
507130;-1.7066666666666666;48.111666666666665;"48°6'42.000""N 1°42'24.000""W";35238;"";R GUILLAUME RÉGNIER PRÈS VOIES  SNCF;35000;RENNES;Pylône tubulaire;24.0;TOTEM
554031;-1.6208333333333333;48.10138888888889;"48°6'5.000""N 1°37'15.000""W";35051;LE CHÊNE MORAND;"56, R DU CHÊNE MORAND ZI DE CESSON";35510;CESSON SEVIGNE;Pylône autostable;80.0;Towercast
558883;-1.754722222222222;48.125277777777775;"48°7'31.000""N 1°45'17.000""W";35353;CHAMP ROBERT;R DE LA BELLE EPINE D 68;35132;VEZIN LE COQUET;Pylône autostable;35.0;TOTEM
566650;-1.7166666666666668;48.10638888888889;"48°6'23.000""N 1°43'0.000""W";35238;"";"123, ROUTE DE LORIENT STÉ AUTO OMNIA INDUSTRIE PARC D'ACTIVITÉS RENNES OUEST";35000;RENNES;Pylône tubulaire;27.0;TOTEM
571333;-1.6558333333333333;48.11666666666667;"48°7'0.000""N 1°39'21.000""W";35238;"";4 BD ALEXIS CARREL;35000;RENNES;Monument religieux;40.0;"Commune, communauté de commune"
592772;-1.6744444444444446;48.10333333333333;"48°6'12.000""N 1°40'28.000""W";35238;LE COLOMBIER;22 BD  DE  BEAUMONT;35000;RENNES;Bâtiment;34.0;SNCF Réseau
599755;-1.691388888888889;48.1075;"48°6'27.000""N 1°41'29.000""W";35238;"";47/49 QUAI DE LA PRÉVALAYE;35000;RENNES;Immeuble;36.0;"Copropriété, Syndic, SCI"
601058;-1.6536111111111111;48.14138888888889;"48°8'29.000""N 1°39'13.000""W";35238;LE CHAMP PIROU;ZAC PATTON;35000;RENNES;Pylône autostable;33.0;TOTEM
