Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
30519;-1.662777777777778;48.11527777777778;"48°6'55.000""N 1°39'46.000""W";35238;"";R DE LA PALESTINE;35700;RENNES;Immeuble;29.0;"Copropriété, Syndic, SCI"
93538;-1.6011111111111112;48.121944444444445;"48°7'19.000""N 1°36'4.000""W";35051;"";52 R DE BELLE EPINE;35510;CESSON SEVIGNE;Immeuble;24.0;Société HLM
132400;-1.6658333333333335;48.09972222222222;"48°5'59.000""N 1°39'57.000""W";35238;"";"45, R DE RIAVAL";35700;RENNES;Immeuble;17.0;"Copropriété, Syndic, SCI"
162076;-1.5794444444444444;48.155277777777776;"48°9'19.000""N 1°34'46.000""W";35334;"";2 R DE RENNES;35235;THORIGNE FOUILLARD;Support non décrit;8.0;""
166194;-1.9572222222222222;48.138888888888886;"48°8'20.000""N 1°57'26.000""W";35188;"";BOULEVARD VILLEBOIS MAREUIL MAIRIE;35160;MONTFORT SUR MEU;Bâtiment;20.0;"Commune, communauté de commune"
166400;-1.9466666666666668;48.18055555555556;"48°10'50.000""N 1°56'48.000""W";35023;"";2 R DE RENNES;35137;BEDEE;Support non décrit;15.0;""
191602;-1.7083333333333335;48.06166666666667;"48°3'42.000""N 1°42'30.000""W";35066;"";RTE DE NANTES LA JANAIS;35131;CHARTRES DE BRETAGNE;Support non décrit;15.0;""
191770;-1.6930555555555555;48.12027777777778;"48°7'13.000""N 1°41'35.000""W";35238;"";2 R HENRY LE GUILLOUX;35700;RENNES;Bâtiment;12.0;Etablissement de soins
223039;-1.673888888888889;48.089444444444446;"48°5'22.000""N 1°40'26.000""W";35238;"";121 BD  ALBERT 1ER;35700;RENNES;Immeuble;21.0;ORANGE Services Fixes
246908;-1.6533333333333333;48.1175;"48°7'3.000""N 1°39'12.000""W";35238;"";17 R LAVOISIER;35700;RENNES;Immeuble;17.0;Particulier
264178;-1.666111111111111;48.11527777777778;"48°6'55.000""N 1°39'58.000""W";35238;"";29 R DE LA PALESTINE;35700;RENNES;Immeuble;21.7;Société Privée
328065;-1.5911111111111111;48.1125;"48°6'45.000""N 1°35'28.000""W";35051;"";RTE DE DOMLOUP CCAL CARREFOUR;35510;CESSON SEVIGNE;Bâtiment;17.0;Société Privée
334235;-1.6883333333333332;48.118611111111115;"48°7'7.000""N 1°41'18.000""W";35238;"";"24 AV DU 41ÈME RÉGIMENT D'INFANTERIE";35700;RENNES;Immeuble;27.8;"Syndicat des eaux, Adduction"
347067;-1.636388888888889;48.1025;"48°6'9.000""N 1°38'11.000""W";35238;"";R CAMILLE ST SAËNS LIGNE SNCF RENNES CHATEAUBRIAND;35700;RENNES;Pylône autostable;25.0;HIVORY
347629;-1.680277777777778;48.109722222222224;"48°6'35.000""N 1°40'49.000""W";35238;"";1 QUAI LAMENNAIS RESTAURANT QUICK;35700;RENNES;Immeuble;24.0;Société Privée
367690;-1.7261111111111112;48.068333333333335;"48°4'6.000""N 1°43'34.000""W";35281;"";4BIS AV JOSEPH LE BRIX AEROPORT JOSEPH LE BRIX;35136;SAINT JACQUES DE LA LANDE;Bâtiment;15.0;"CCI,Ch Metiers,Port Aut,Aérop"
370774;-1.6172222222222223;48.09916666666667;"48°5'57.000""N 1°37'2.000""W";35055;"";1 FORUM DE LA ROCADE;35135;CHANTEPIE;Bâtiment;7.0;Towercast
391692;-1.9802777777777778;48.103611111111114;"48°6'13.000""N 1°58'49.000""W";35133;"";LA VILLE-ES-ARCHERS;35750;IFFENDIC;Pylône autostable;16.0;EDF ou GDF
439625;-1.7047222222222222;48.10388888888889;"48°6'14.000""N 1°42'17.000""W";35238;"";10 R DE GUEBRIANT;35000;RENNES;Immeuble;20.0;"Copropriété, Syndic, SCI"
442555;-1.6175;48.08833333333333;"48°5'18.000""N 1°37'3.000""W";35055;"";"PL DE L'EGLISE";35135;CHANTEPIE;Monument religieux;30.0;"Commune, communauté de commune"
443983;-1.778888888888889;48.10194444444444;"48°6'7.000""N 1°46'44.000""W";35240;LA ROMILLAIS;"";35650;RHEU;Pylône tubulaire;43.0;SFR
444333;-1.6272222222222221;48.124722222222225;"48°7'29.000""N 1°37'38.000""W";35051;BEL AIR;2 R DU CLOS COURTEL BUTTES DE COESMES;35510;CESSON SEVIGNE;Tour hertzienne;127.0;TDF
444892;-1.7369444444444446;48.05694444444445;"48°3'25.000""N 1°44'13.000""W";35047;LA HAIE GAUTRAIS;PARC EXPO DE RENNES AÉROPORT;35170;BRUZ;Pylône autostable;30.0;TOTEM
456371;-1.712222222222222;48.121944444444445;"48°7'19.000""N 1°42'44.000""W";35238;"";23 R DU NIVERNAIS IMM LE CORBIGNY;35000;RENNES;Immeuble;57.0;Société Privée
456843;-1.5991666666666666;48.15833333333333;"48°9'30.000""N 1°35'57.000""W";35334;LE PORTAIL;CHEM DES LOUCHES;35235;THORIGNE FOUILLARD;"Château d'eau - réservoir";55.0;"Syndicat des eaux, Adduction"
462547;-1.4319444444444445;48.17805555555555;"48°10'41.000""N 1°25'55.000""W";35031;BELLEVUE;R DU STADE;35340;BOUEXIERE;Pylône autostable;44.0;ATC FRANCE
462679;-1.7480555555555557;48.024166666666666;"48°1'27.000""N 1°44'53.000""W";35047;"";PL DU CHANOINE ROULIN EGLISE;35170;BRUZ;Monument religieux;55.0;"Commune, communauté de commune"
464866;-1.5230555555555556;48.10638888888889;"48°6'23.000""N 1°31'23.000""W";35207;"";ZA LES MALTOUCHES R DE LA RICHARDIERE;35530;NOYAL SUR VILAINE;Pylône tubulaire;54.5;ATC FRANCE
465212;-1.5569444444444445;48.13027777777778;"48°7'49.000""N 1°33'25.000""W";35001;CHAMP DE LEPINE;"";35690;ACIGNE;Pylône autostable;38.0;ATC FRANCE
465258;-1.7216666666666667;48.187222222222225;"48°11'14.000""N 1°43'18.000""W";35173;ZA CONFORT LAND;R DE LA PERRIÈRE;35520;MELESSE;Pylône autostable;44.0;RTE
465800;-1.5997222222222223;48.047222222222224;"48°2'50.000""N 1°35'59.000""W";35352;"";18 T AV DE LA GARE;35770;VERN SUR SEICHE;"Château d'eau - réservoir";30.0;"Syndicat des eaux, Adduction"
471459;-1.5775000000000001;48.11666666666667;"48°7'0.000""N 1°34'39.000""W";35051;PORTE DE LA RIGOURDIÈRE;LE CROISIC N157;35510;CESSON SEVIGNE;Pylône autostable;30.0;TOTEM
472675;-1.6755555555555555;48.09861111111111;"48°5'55.000""N 1°40'32.000""W";35238;"";"92 R DE L'ALMA";35000;RENNES;Bâtiment;20.3;"Copropriété, Syndic, SCI"
474149;-1.632222222222222;48.09638888888889;"48°5'47.000""N 1°37'56.000""W";35238;"";42 R DES VEYETTES ZI SUD EST;35000;RENNES;Pylône tubulaire;48.0;BOUYGUES
476649;-1.6636111111111112;48.103611111111114;"48°6'13.000""N 1°39'49.000""W";35238;"";1-2 R PIERRE MARTIN;35000;RENNES;Immeuble;41.0;Société HLM
478352;-1.5972222222222223;48.128055555555555;"48°7'41.000""N 1°35'50.000""W";35051;LE PLACIS VERT;R DE LA CHALOTAIS;35510;CESSON SEVIGNE;Pylône tubulaire;20.0;TOTEM
486347;-1.8936111111111111;48.14861111111111;"48°8'55.000""N 1°53'37.000""W";35040;LE CHAMP DU PRESSOIR;"";35160;BRETEIL;Pylône autostable;35.0;TDF
